date,source,title,url
2025-04-28,www.gazeta.ru,Представлен список номинантов на «Золотой мяч»,https://www.gazeta.ru/sport/2019/10/22/a_12769850.shtml
2025-04-28,www.gazeta.ru,«Результаты аннулированы корректно»: CAS отклонил апелляцию на лишение России золота ОИ-2022,https://www.gazeta.ru/sport/2024/07/25/19457125.shtml
2025-04-22,news.ru,Стоимость золота достигла исторического максимума,https://news.ru/society/stoimost-zolota-dostigla-istoricheskogo-maksimuma/
2025-01-30,news.ru,Китайские контрабандисты попытались выехать из России с 13 слитками золота,https://news.ru/regions/v-zabajkale-pojmali-perevozivshih-zoloto-chlenov-kitajskoj-bandy/
2025-01-22,news.ru,Две россиянки пытались вывезти по килограмму золота оригинальным способом,https://news.ru/society/dve-rossiyanki-pytalis-vyvesti-po-kilogrammu-zolota-originalnym-sposobom/
2025-04-18,news.ru,Врач предупредила об опасности золотых яиц на Пасху,https://news.ru/zdorovye-i-krasota/vrach-predupredila-ob-opasnosti-zolotyh-yaic-na-pashu/
2025-04-28,www.gazeta.ru,Россиянин избил и ограбил пожилую мать ради золотых сережек,https://www.gazeta.ru/social/news/2025/01/28/24942638.shtml
2025-03-22,news.ru,"В США рассказали, сколько заработали на продаже «золотых виз»",https://news.ru/usa/v-ssha-rasskazali-skolko-zarabotali-na-prodazhe-zolotyh-viz/
2025-01-04,news.ru,В европейской стране решили отменить «золотые визы»,https://news.ru/europe/v-ispanii-reshili-otmenit-zolotye-vizy/
2025-02-06,news.ru,"«Украл коллекцию»: депутат напомнил, как Зеленский озолотился за счет Крыма",https://news.ru/russia/deputat-rasskazal-chem-zelenskij-pozolotil-ruku-v-krymu/
2025-02-25,news.ru,Воры вынесли золотой унитаз из дворца Черчилля за рекордное время,https://news.ru/europe/vory-pokazali-klass-v-upravlenii-kuvaldami-pri-krazhe-zolotogo-unitaza/
2025-04-08,news.ru,Золотые резервы России достигли рекордной стоимости,https://news.ru/economics/zolotye-rezervy-rossii-dostigli-rekordnoj-stoimosti/
2025-03-31,news.ru,Стоимость золота побила исторический рекорд,https://news.ru/world/stoimost-zolota-pobila-istoricheskij-rekord1/
2025-03-16,news.ru,Россия вошла в топ-10 стран с самым зверским аппетитом к золоту,https://news.ru/world/nazvany-desyat-stran-s-samym-zverskim-appetitom-k-zolotu/
2025-02-12,news.ru,"Экономист раскрыла, почему россияне забирают золото из банков",https://news.ru/economics/ekonomist-raskryla-pochemu-rossiyane-zabirayut-zoloto-iz-bankov/
2025-04-28,www.gazeta.ru,Российские штангисты завоевали шесть золотых медалей на юношеском ЧЕ,https://www.gazeta.ru/news/sport/2008/07/26/n_1248398.shtml
